,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C13,C14,C16,C18,C19,C20,C21,C22,C23,C24,C27,C28,C29
0,1.0,53,yes,V5,11.0,V2,V1,V1,V3,7865,V3,V4,30964,V1,3824,4,V2,V2,1,V3,4,V3,1.0
1,0.0,35,yes,V3,11.0,V7,V1,V1,V1,3904,V3,V3,157435,V1,5160,2,V4,V1,2,V1,2,V3,2.0
2,1.0,40,yes,V5,18.0,V2,V1,V2,V3,4296,V3,V4,21999,V1,3720,3,V3,V2,1,V2,4,V1,1.0
3,0.0,28,yes,V3,14.0,V7,V1,V1,V4,1402,V3,V3,56353,V1,6245,4,V2,V1,1,V1,2,V2,1.0
4,0.0,40,yes,V3,11.0,V1,V1,V4,V1,1503,V3,V3,6160,V1,5496,4,V3,V1,1,V1,4,V4,1.0
5,0.0,25,yes,V2,11.0,V3,V1,V2,V1,624,V1,V2,13282,V3,4030,1,V2,V1,1,V2,4,V4,1.0
6,0.0,61,yes,V3,6.0,V4,V3,V4,V1,1337,V3,V3,58376,V1,4304,4,V2,V1,1,V2,1,V1,1.0
7,1.0,24,yes,V2,12.0,V2,V1,V2,V2,2968,V3,V3,69444,V1,5968,3,V5,V1,2,V1,4,V2,1.0
8,0.0,25,yes,V3,11.0,V2,V1,V4,V1,762,V3,V3,25653,V1,7189,1,V2,V2,1,V2,4,V2,1.0
9,0.0,44,yes,V5,36.0,V7,V1,V4,V4,10874,V3,V3,13784,V1,4399,2,V3,V2,2,V2,2,V3,2.0
10,1.0,22,yes,V2,35.0,V2,V1,V4,V2,7126,V3,V3,14286,V1,4604,4,V4,V2,2,V1,2,V2,1.0
11,0.0,28,no,V2,3.0,V7,V5,V3,V1,1494,V3,V2,71205,V1,4455,2,V2,V1,1,V2,1,V3,2.0
12,0.0,34,yes,V4,24.0,V1,V1,V1,V3,2909,V3,V4,65624,V1,5282,1,V2,V2,1,V3,2,V3,1.0
13,1.0,42,yes,V1,23.0,V7,V1,V1,V1,1333,V3,V3,84336,V1,4716,2,V3,V1,2,V3,4,V3,2.0
14,0.0,27,yes,V4,18.0,V7,V1,V2,V1,6259,V3,V2,21540,V1,5431,3,V2,V1,1,V1,3,V3,1.0
15,1.0,22,yes,V2,17.0,V7,V1,V1,V4,1216,V3,V3,77130,V1,5046,3,V2,V2,1,V1,4,V2,1.0
16,0.0,30,yes,V3,14.0,V3,V1,V4,V2,1360,V3,V3,11610,V1,4883,2,V4,V1,2,V2,4,V3,1.0
17,1.0,25,yes,V3,36.0,V7,V1,V4,V1,7855,V2,V3,120231,V1,3446,2,V4,V2,2,V2,4,V2,1.0
18,0.0,39,yes,V5,12.0,V7,V1,V4,V4,1883,V3,V4,26599,V1,7295,4,V2,V2,1,V2,4,V3,1.0
19,0.0,34,yes,V5,11.0,V3,V3,V1,V1,1679,V3,V3,48638,V1,4098,1,V2,V1,1,V2,3,V4,1.0
20,0.0,50,yes,V5,24.0,V2,V1,V3,V3,2891,V3,V3,52442,V1,4763,4,V2,V1,1,V3,3,V1,1.0
21,1.0,34,yes,V5,9.0,V6,V1,V2,V4,1500,V3,V4,13527,V1,5235,3,V4,V2,2,V2,2,V2,1.0
22,1.0,22,yes,V2,8.0,V3,V1,V1,V2,1366,V3,V3,18672,V1,5651,4,V2,V1,1,V1,3,V2,1.0
23,1.0,29,yes,V5,44.0,V9,V1,V1,V4,11815,V3,V3,44304,V1,4794,4,V5,V1,2,V1,2,V3,1.0
24,0.0,45,yes,V2,7.0,V3,V1,V2,V1,2329,V3,V3,86943,V3,5990,1,V2,V1,1,V2,1,V2,1.0
25,0.0,63,yes,V5,12.0,V3,V1,V4,V1,1654,V3,V2,5513,V1,5115,4,V4,V2,2,V2,2,V3,1.0
26,1.0,61,yes,V5,21.0,V9,V2,V2,V4,2766,V1,V2,25852,V1,4901,2,V2,V1,2,V1,4,V1,1.0
27,0.0,24,yes,V3,11.0,V3,V1,V3,V4,3015,V3,V3,72796,V1,4431,1,V2,V1,1,V2,3,V4,1.0
28,0.0,47,yes,V3,21.0,V7,V1,V2,V2,2352,V3,V3,58473,V1,5017,4,V3,V1,2,V2,1,V1,1.0
29,0.0,23,yes,V3,17.0,V9,V2,V4,V2,1568,V3,V2,21116,V1,6051,4,V2,V1,1,V1,3,V2,1.0
30,0.0,31,yes,V5,35.0,V3,V1,V3,V4,4473,V3,V3,9864,V1,5189,2,V2,V1,1,V2,4,V3,1.0
31,0.0,36,yes,V5,23.0,V7,V4,V4,V1,1286,V3,V3,13829,V1,6483,4,V4,V2,2,V2,4,V2,1.0
32,0.0,22,yes,V2,15.0,V6,V1,V3,V2,392,V3,V3,44270,V1,4847,4,V2,V2,1,V1,4,V2,1.0
33,0.0,26,yes,V5,23.0,V3,V3,V4,V4,3234,V3,V4,35839,V1,4394,2,V2,V2,1,V2,3,V1,1.0
34,1.0,29,yes,V3,8.0,V2,V1,V2,V2,917,V3,V3,14700,V1,6163,1,V2,V1,1,V2,4,V2,1.0
35,1.0,26,yes,V1,36.0,V2,V1,V4,V4,10973,V3,V4,93720,V1,3086,2,V2,V2,2,V2,4,V2,1.0
36,0.0,35,yes,V5,9.0,V3,V2,V4,V4,2753,V3,V3,24571,V2,6152,4,V2,V2,1,V2,3,V3,1.0
37,0.0,21,yes,V2,18.0,V2,V1,V1,V2,1049,V3,V3,35830,V1,3619,4,V4,V1,1,V1,4,V2,1.0
38,1.0,44,yes,V5,24.0,V1,V1,V2,V3,12579,V3,V4,26939,V1,4877,2,V2,V2,1,V3,4,V2,1.0
