ID,Predict1,Predict2
1001,0,1
1002,1,1
1003,0,0
1004,0,1
1005,1,1
1006,0,0
1007,0,1
1008,0,0
1009,1,1
1010,1,1
1011,0,1
1012,0,1
1013,1,1
1014,0,1
1015,0,0
1016,0,0
1017,0,1
1018,1,1
1019,0,1
1020,0,0
1021,1,0
1022,1,1
1023,0,1
1024,0,0
1025,0,0
1026,0,0
1027,1,1
1028,1,0
1029,0,0
1030,0,0
1031,0,1
1032,0,1
1033,1,1
1034,1,1
1035,1,1
1036,1,0
1037,0,1
1038,0,1
1039,1,1
1040,0,1
1041,0,1
1042,0,1
1043,0,0
1044,1,1
1045,0,0
1046,1,1
1047,0,1
1048,0,0
1049,0,0
1050,0,0
1051,0,0
1052,0,0
1053,0,1
1054,0,1
1055,0,1
1056,0,0
1057,1,1
1058,1,1
1059,1,1
1060,0,0
1061,1,1
1062,1,1
1063,0,1
1064,0,0
1065,1,0
1066,0,1
1067,1,1
1068,0,0
1069,0,0
1070,0,1
1071,0,1
1072,0,1
1073,0,0
1074,0,0
1075,0,1
1076,1,1
1077,0,1
1078,0,0
1079,0,0
1080,1,1
1081,0,1
1082,0,0
1083,1,0
1084,0,0
1085,0,1
1086,0,0
1087,1,1
1088,0,0
1089,0,0
1090,0,0
1091,0,0
1092,1,1
1093,1,1
1094,0,0
1095,0,0
1096,1,1
1097,0,0
1098,1,1
1099,0,0
1100,0,0
